Finance (Priority A)
BankAccount,A,"Bank account data",Model,"Finance"
Bill,A,"Vendor invoice/bill",Model,"Finance"
BillAccount,A,"Accounting lines for Bill",Model,"Finance"
BillPayment,A,"Payments settling bills",Model,"Finance"
BillProduct,A,"Line items in Bill",Model,"Finance"
ChartOfAccount,A,"Ledger structure",Model,"Finance"
ChartOfAccountSubType,A,"Subtypes for COA",Model,"Finance"
ChartOfAccountType,A,"COA types",Model,"Finance"
CreditNote,A,"Official credit note",Model,"Finance"
DebitNote,A,"Official debit note",Model,"Finance"
Expense,A,"Financial outflow",Model,"Finance"
Invoice,A,"Commercial invoice",Model,"Finance"
InvoiceBankTransfer,A,"Bank details for invoice",Model,"Finance"
InvoicePayment,A,"Invoice payment record",Model,"Finance"
InvoiceProduct,A,"Products in invoice",Model,"Finance"
JournalItem,A,"Lines in a journal entry",Model,"Finance"
OtherPayment,A,"Generic payment record",Model,"Finance"
Payment,A,"Actual payment entity",Model,"Finance"
Pos,A,"Point of sale (finance)",Model,"Finance"
PosPayment,A,"Payment at POS",Model,"Finance"
Product,A,"Invoice line item",Model,"Finance"
ProductCategory,A,"Category for invoice items",Model,"Finance"
ProductService,A,"Product/Service for invoice",Model,"Finance"
ProductServiceCategory,A,"Product/Service category",Model,"Finance"
ProductServiceUnit,A,"Unit measure for invoice",Model,"Finance"
Purchase,A,"Purchase → vendor bills",Model,"Finance"
PurchasePayment,A,"Payment for purchase",Model,"Finance"
Transaction,A,"Main transaction record",Model,"Finance"
Transfer,A,"Financial transfers",Model,"Finance"
Vender,A,"Vendors for bills",Model,"Finance"
BankAccountController,A,"Manage bank accounts",Controller,"Finance"
BankTransferController,A,"Bank transfer (universal)",Controller,"Finance"
BankTransferPaymentController,A,"Payment via bank transfer",Controller,"Finance"
BillController,A,"Manage vendor bills",Controller,"Finance"
ChartOfAccountController,A,"Official accounting base",Controller,"Finance"
ChartOfAccountTypeController,A,"Manage COA types",Controller,"Finance"
CreditNoteController,A,"Manages credit notes",Controller,"Finance"
DebitNoteController,A,"Manages debit notes",Controller,"Finance"
ExpenseController,A,"Expense logic",Controller,"Finance"
InvoiceController,A,"Core invoice logic",Controller,"Finance"
JournalEntryController,A,"Accounting entries",Controller,"Finance"
MercadoPaymentController,A,"Payment gateway (used in BR)",Controller,"Finance"
OtherPaymentController,A,"Generic payment logic",Controller,"Finance"
PaymentController,A,"Generic payment logic",Controller,"Finance"
PaypalController,A,"Payment gateway (widely used in BR)",Controller,"Finance"
PosController,A,"POS (generates receipts)",Controller,"Finance"
ProductServiceController,A,"Catalog for invoice items",Controller,"Finance"
ProductStockController,A,"Inventory for invoicing",Controller,"Finance"
PurchaseController,A,"Handles purchase orders",Controller,"Finance"
RevenueController,A,"Tracks posted revenue",Controller,"Finance"
StripePaymentController,A,"Gateway (Brazil supported)",Controller,"Finance"
TaxController,A,"Affects invoice totals",Controller,"Finance"
TransactionController,A,"Transaction ledger",Controller,"Finance"
TransferController,A,"Financial transfers",Controller,"Finance"
VenderController,A,"Manage vendor data",Controller,"Finance"
AccountStatementExport,A,"Exports account statement",Export,"Finance"
BalanceSheetExport,A,"Exports balance sheet",Export,"Finance"
BillExport,A,"Export vendor bills",Export,"Finance"
InvoiceExport,A,"Export invoices (critical)",Export,"Finance"
ProfitLossExport,A,"P&L statement export",Export,"Finance"
ReceivableExport,A,"Export A/R info",Export,"Finance"
TransactionExport,A,"Core transaction export",Export,"Finance"
TrialBalancExport,A,"Trial balance export",Export,"Finance"
VenderExport,A,"Export vendor data",Export,"Finance"

Finance (Priority D)
AamarpayController,D,"Gateway (Bangladesh)",Controller,"Finance"
CashfreeController,D,"Gateway (India)",Controller,"Finance"
CoingatePaymentController,D,"Gateway (crypto, not used BR)",Controller,"Finance"
FlutterwavePaymentController,D,"Gateway (Africa)",Controller,"Finance"
IyziPayController,D,"Gateway (Turkey)",Controller,"Finance"
MidtransPaymentController,D,"Gateway (Indonesia)",Controller,"Finance"
MolliePaymentController,D,"Gateway (Europe)",Controller,"Finance"
PayFastController,D,"Gateway (S. Africa)",Controller,"Finance"
PaymentWallPaymentController,D,"Gateway (low use in BR)",Controller,"Finance"
PaystackPaymentController,D,"Gateway (Nigeria)",Controller,"Finance"
PaytabController,D,"Gateway (Middle East)",Controller,"Finance"
PaytmPaymentController,D,"Gateway (India)",Controller,"Finance"
PaytrController,D,"Gateway (Turkey)",Controller,"Finance"
RazorpayPaymentController,D,"Gateway (India)",Controller,"Finance"
SkrillPaymentController,D,"Gateway (international, low BR)",Controller,"Finance"
SspayController,D,"Gateway (unknown)",Controller,"Finance"
ToyyibpayController,D,"Gateway (Malaysia)",Controller,"Finance"
WarehouseController,D,"Manage warehouse",Controller,"Finance"
WarehouseProduct,D,"Items in warehouse",Model,"Finance"
WarehouseTransfer,D,"Warehouse movement",Model,"Finance"
WarehouseTransferController,D,"Warehouse transfers",Controller,"Finance"
YooKassaController,D,"Gateway (Russia)",Controller,"Finance"
warehouse,D,"Warehouse entity",Model,"Finance"

CRM (Priority A)
ClientDeal,A,"Deals leading to invoices",Model,"CRM"
Commission,A,"Sales commission (affects invoice)",Model,"CRM"
Coupon,A,"Discount for invoices/POS",Model,"CRM"
Customer,A,"Customer record (invoicing)",Model,"CRM"
Deal,A,"Sales pipeline → invoice",Model,"CRM"
DealCall,A,"Calls about deals → invoice",Model,"CRM"
DealDiscussion,A,"Deal discussions",Model,"CRM"
DealEmail,A,"Emails about deals → invoice",Model,"CRM"
DealFile,A,"Files about deals → invoice",Model,"CRM"
DealTask,A,"Tasks about deals → invoice",Model,"CRM"
Estimation,A,"Quote → can become invoice",Model,"CRM"
Lead,A,"Potential future invoice",Model,"CRM"
LeadActivityLog,A,"Logs re: leads → invoice",Model,"CRM"
LeadCall,A,"Calls re: leads → invoice",Model,"CRM"
